customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,signup_date,address,city
3997,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio
4101,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York
3986,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago
4078,Michael,Brown,Male,1986-02-06 13:09:53,,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles
4042,Robert,Jones,Male,1996-12-05 05:10:11,robert.martinez5@mail.com,758-947-2802,2018-03-11 01:43:10,2820 Maple St,Chicago
4000,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago
4092,Alex,Jones,,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix
4097,Robert,Garcia,Male,1961-08-23 20:07:35,john.davis8@mail.com,177-295-1630,2018-02-21 18:52:20,6277 Pine St,Chicago
4119,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago
4061,Michael,Smith,Female,1964-04-09 15:55:20,sarah.rodriguez10@mail.com,319-694-5299,2020-03-22 03:08:52,5143 Oak St,Houston
4088,Emily,Martinez,Female,1962-06-20 03:18:26,william.jones11@mail.com,925-216-2350,2018-01-11 12:50:14,2137 Pine St,
4083,Jessica,Rodriguez,Male,1963-12-13 08:08:29,michael.martinez12@mail.com,266-475-3071,2018-11-24 14:53:14,4838 Pine St,Houston
4107,Jessica,Miller,Female,1991-06-24 12:15:45,jessica.garcia13@mail.com,933-962-7201,2019-05-26 14:23:14,8291 Elm St,Houston
4036,Alex,Williams,Female,1983-02-06 08:30:24,john.garcia14@mail.com,137-725-5082,2016-03-15 00:14:48,9794 Oak St,New York
3972,Sarah,Garcia,Female,1979-11-05 06:23:53,jessica.smith15@mail.com,556-723-1316,2022-11-04 13:09:46,9298 Oak St,Houston
4104,Michael,Rodriguez,Female,1974-07-17 17:33:24,emily.smith16@mail.com,795-532-4869,2018-08-30 23:17:24,3846 Oak St,Phoenix
4025,Jane,Miller,Female,1968-07-25 00:08:32,linda.miller17@mail.com,312-519-5125,2020-10-10 16:48:06,203 Oak St,Phoenix
4033,Jessica,Davis,Male,1973-11-27 22:13:41,jane.rodriguez18@mail.com,628-343-4187,2021-05-22 12:10:29,9426 Oak St,San Antonio
